,Mobile Link,Mobile Name,Price,Rating,SIM Type,Display Size,Resolution,Display Type,GPU,Operating System,Processor Type,Processor Core,Internal Storage,RAM,Total Memory,Expandable Storage,Primary Camera,Secondary Camera,Digital Zoom,Frame Rate,Supported Networks,Bluetooth Version,Wi-Fi Version,NFC,Battery Capacity
121,https://flipkart.com/samsung-galaxy-a14-5g-light-green-128-gb/p/itmabe91abe7ba0c?pid=MOBGHT8UU3STRKZS&lid=LSTMOBGHT8UU3STRKZSI7GOCK&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_122&otracker=search&otracker1=search&fm=organic&iid=en_B7oUt4nCCuCkOUqW_Pl-471pYyPsVxOYzfmsvJzp1mEuaEzEYhGZlPuhFScnqcRonJLSrVyAuuGUkkwpZV7-D_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)  (6 GB RAM)",N/A,4.2,Dual Sim,16.76 cm (6.6 inch),2408 x 1080 Pixels,Full HD+,ARM Mali G68 MP2,Android 13,Exynos 1330,Octa Core,128 GB,6 GB,128 GB,1 TB,50MP + 2MP + 2MP,13MP Front Camera,Upto 10X,30 fps,"5G, 4G LTE, WCDMA, GSM",v5.0,802.11,No,5000 mAh
122,https://flipkart.com/lava-blaze-x-starlight-purple-128-gb/p/itm0aa9aa99a33f9?pid=MOBH32XFPKZFABHZ&lid=LSTMOBH32XFPKZFABHZOM87HF&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_123&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBH32XFPKZFABHZ.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"LAVA Blaze x (Starlight Purple, 128 GB)  (6 GB RAM)",N/A,4.1,Dual Sim,16.94 cm (6.67 inch),1050x2400$$pixels,20Hz FHD+ Curved Amoled Display,N/A,Android Q Android 14,Octa-core 2.6GHz MediaTek Dimensity 7050 6nm processor,Octa Core,128 GB,6 GB,128 GB,N/A,64MP Rear Camera,N/A,N/A,N/A,5G,V5.2,"Wi-Fi 802.11 b/g/n/ac, hotspot",N/A,5000 mAh
123,https://flipkart.com/infinix-note-40-5g-obsidian-black-256-gb/p/itm72c4c7b7d8834?pid=MOBHFZREFVXZYWEC&lid=LSTMOBHFZREFVXZYWECXJ8EJW&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_124&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBHFZREFVXZYWEC.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"Infinix Note 40 5G (Obsidian Black, 256 GB)  (8 GB RAM)","₹19,999",4.2,Dual Sim,17.22 cm (6.78 inch),2400 x 1080 Pixels,Full HD+ AMOLED,N/A,Android 14,Dimensity 7020,Octa Core,256 GB,8 GB,N/A,N/A,108MP + 2MP + 2MP,32MP Front Camera,"Dual Digital Zoom, 3X & 10X","30 fps, 60 fps","5G, 4G LTE, WCDMA, GSM",N/A,802.11 (a/b/g/n/ac) (2.4 GHz | 5 GHz),Yes,5000 mAh
124,https://flipkart.com/vivo-y36-vibrant-gold-128-gb/p/itm32921c8885565?pid=MOBGQFXZABYHYY3D&lid=LSTMOBGQFXZABYHYY3D2X0PWH&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_125&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBGQFXZABYHYY3D.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"vivo Y36 (Vibrant Gold, 128 GB)  (8 GB RAM)",N/A,4.3,Dual Sim,16.87 cm (6.64 inch),2388 x 1080 Pixels,Full HD+ LCD Display,N/A,Android 13,Snapdragon 680,Octa Core,128 GB,8 GB,N/A,N/A,50MP + 2MP,16MP Front Camera,N/A,N/A,"4G LTE, GSM, WCDMA",v5.1,"Support 2.4 GHz, 5 GHz",No,5000 mAh
125,https://flipkart.com/redmi-note-14-5g-mystique-white-128-gb/p/itm721548515fde2?pid=MOBH78KTV8NBYHTH&lid=LSTMOBH78KTV8NBYHTH4VQFZG&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_126&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBH78KTV8NBYHTH.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"REDMI Note 14 5G (Mystique White, 128 GB)  (8 GB RAM)","₹19,160",4.3,Dual Sim,16.94 cm (6.67 inch),2400*1080$$Pixels,N/A,N/A,Android Oxygen 14,N/A,Octa Core,128 GB,8 GB,N/A,N/A,50MP Rear Camera,N/A,N/A,N/A,"4G LTE, GSM, WCDMA, 5G",N/A,N/A,N/A,5110 mAh
126,https://flipkart.com/poco-m6-plus-5g-ice-silver-128-gb/p/itm7e794d10838b4?pid=MOBH2M2DTGYS9HPB&lid=LSTMOBH2M2DTGYS9HPBRYLMHV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_127&otracker=search&otracker1=search&fm=organic&iid=en_B7oUt4nCCuCkOUqW_Pl-471pYyPsVxOYzfmsvJzp1mEf6BIfbPRxkjOBWpl6HmwiCWXouvQuc314l7541Xt41fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"POCO M6 Plus 5G (Ice Silver, 128 GB)  (6 GB RAM)","₹10,999",4.2,Dual Sim,17.25 cm (6.79 inch),2460 x 1080 Pixels,N/A,N/A,Android 14,Snapdragon 4 Gen2 AE,Octa Core,128 GB,6 GB,N/A,1 TB,108MP + 2MP,13MP Front Camera,Upto 10X,N/A,"5G, 4G VoLTE, 4G LTE, WCDMA, GSM",v5.0,Supports 2.4 GHz and 5 GHz Dual Band,No,5030 mAh
127,https://flipkart.com/infinix-gt-20-pro-mecha-blue-256-gb/p/itm65a37452b3cc8?pid=MOBHYP4XKUET74VN&lid=LSTMOBHYP4XKUET74VNKPZHZ3&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_128&otracker=search&otracker1=search&fm=organic&iid=en_B7oUt4nCCuCkOUqW_Pl-471pYyPsVxOYzfmsvJzp1mEGGPIqVJ2uw7cLJ_25I_FaoIWYHlc6iusZ6NcMGBhEIvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"Infinix GT 20 Pro (Mecha Blue, 256 GB)  (8 GB RAM)","₹22,999",4.4,Dual Sim,17.22 cm (6.78 inch),2436 x 1080 Pixels,Full HD+ AMOLED,N/A,Android 14,Dimensity 8200 Ultimate,Octa Core,256 GB,8 GB,N/A,N/A,108MP (OIS) + 2MP + 2MP,32MP Front Camera,Yes,N/A,"5G, 4G LTE, WCDMA, GSM",N/A,WiFi 6,Yes,5000 mAh
128,https://flipkart.com/realme-p1-speed-5g-textured-titanium-128-gb/p/itm043baaa17426f?pid=MOBH4TV9RBEGXZ9W&lid=LSTMOBH4TV9RBEGXZ9WKWWXZ4&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_129&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBH4TV9RBEGXZ9W.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"realme P1 Speed 5G (Textured Titanium, 128 GB)  (8 GB RAM)","₹17,999",4.4,Dual Sim,16.94 cm (6.67 inch),2400 x 1080 Pixels,Full HD+ AMOLED,ARM Mali G615,Android 14,Dimensity 7300 Energy,Octa Core,128 GB,8 GB,N/A,2 TB,50MP + 2MP,16MP Front Camera,10X,"240 fps, 120 fps, 60 fps, 30 fps","5G, 4G VoLTE, 4G LTE, WCDMA, GSM",v5.4,"WiFi 6 (802.11 ax), Wi-Fi 5 (802.11 ac), 802.11 a/b/g/n, WLAN 2.4 GHz, WLAN 5.1 GHz, WLAN 5.8 GHz, WLAN Display, WLAN Network Share, Wi-Fi 5 GHz 80 MHz",No,5000 mAh
129,https://flipkart.com/oppo-f25-pro-5g-coral-purple-128-gb/p/itm9451b9c477991?pid=MOBGZFDWBNU6AM4U&lid=LSTMOBGZFDWBNU6AM4UM8BNNO&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_130&otracker=search&otracker1=search&fm=organic&iid=9023afda-8d2c-4f10-a946-75737d83b9d3.MOBGZFDWBNU6AM4U.SEARCH&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"OPPO F25 Pro 5G (Coral Purple, 128 GB)  (8 GB RAM)","₹19,999",4.3,Dual Sim,17.02 cm (6.7 inch),2412 x 1080 Pixels,Full HD+ 2.5D Flexible OLED,ARM Mali-G68 MC4,Android 14,Dimensity 7050,Octa Core,128 GB,8 GB,N/A,2 TB,64MP + 8MP + 2MP,32MP Front Camera,10X,"960 fps, 480 fps, 240 fps, 120 fps, 60 fps, 30 fps","4G LTE, 5G, GSM, WCDMA",v5.2,"Wi-Fi 6 (802.11 ax), Wi-Fi 5 (802.11ac), 802.11a/b/g/n, WLAN 2.4 GHz/WLAN 5 GHz, WLAN Display, WLAN Tethering, Wi-Fi 5 GHz 80 MHz, 2 x 2 MIMO",No,5000 mAh
130,https://flipkart.com/infinix-note-40x-5g-palm-blue-256-gb/p/itm9c39960257804?pid=MOBH34XGH9JGS3KM&lid=LSTMOBH34XGH9JGS3KMTLDOKR&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_6_131&otracker=search&otracker1=search&fm=organic&iid=en_B7oUt4nCCuCkOUqW_Pl-471pYyPsVxOYzfmsvJzp1mFyAkFn0mj2Hf9ipBkUP2Fq6tRXSJTRQgsrhYURd5zxNfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajugj8sqz40000001735198667875&qH=9215ad6dc70e1542,"Infinix Note 40X 5G (Palm Blue, 256 GB)  (12 GB RAM)",N/A,4.3,Dual Sim,17.22 cm (6.78 inch),2460 x 1080 Pixels,Full HD+,N/A,Android 14,Dimensity 6300,Octa Core,256 GB,12 GB,N/A,1 TB,108MP + 2MP + AI Lens,8MP Front Camera,Yes,N/A,"5G, 4G LTE, WCDMA, GSM",v5.2,802.11 (a/b/g/n/ac),Yes,5000 mAh
